hour,second,minute,sensor_data
18,50,41,"[23.25, 23.0, 22.75, 23.0, 23.0, 23.0, 22.5, 22.5, 23.25, 23.5, 23.0, 23.5, 23.0, 23.0, 23.25, 23.25, 23.75, 23.25, 24.0, 23.25, 23.5, 23.5, 22.75, 23.0, 23.75, 23.25, 23.75, 23.75, 24.0, 23.75, 24.0, 23.0, 23.75, 24.0, 24.0, 23.75, 24.25, 23.75, 23.75, 24.25, 25.25, 24.5, 25.0, 26.25, 27.0, 27.5, 28.5, 27.25, 26.75, 27.5, 27.5, 28.0, 27.5, 27.5, 28.0, 28.25, 26.0, 26.75, 27.5, 27.75, 28.0, 28.5, 28.75, 28.5]"
18,50,42,"[23.0, 22.75, 22.75, 23.5, 23.25, 23.0, 23.0, 22.5, 23.5, 23.75, 23.25, 23.5, 23.5, 23.5, 23.75, 22.5, 23.75, 23.25, 23.75, 23.5, 23.75, 23.75, 23.5, 23.0, 23.5, 23.75, 23.75, 23.75, 24.0, 23.5, 24.0, 23.25, 23.5, 24.5, 24.0, 24.25, 23.75, 23.75, 23.75, 24.75, 25.25, 25.0, 25.25, 25.75, 26.75, 27.75, 28.25, 26.75, 27.0, 27.5, 27.75, 28.5, 27.75, 27.5, 28.0, 28.25, 26.5, 26.5, 27.0, 28.0, 28.25, 28.5, 29.0, 28.0]"
18,50,42,"[23.25, 22.5, 22.75, 23.0, 23.0, 22.75, 22.75, 22.25, 23.0, 23.5, 23.0, 23.0, 22.75, 23.25, 23.25, 22.5, 24.0, 23.5, 23.25, 23.75, 23.5, 23.5, 23.25, 23.5, 23.25, 23.75, 23.5, 23.75, 23.75, 23.25, 23.75, 23.0, 24.0, 24.0, 23.75, 24.25, 24.0, 24.25, 23.75, 24.5, 25.25, 24.75, 25.5, 26.0, 27.0, 28.0, 28.5, 26.75, 26.5, 27.25, 27.75, 27.75, 27.75, 27.75, 28.0, 28.0, 26.25, 27.25, 27.0, 28.25, 28.25, 28.75, 28.75, 27.75]"
18,50,42,"[23.25, 23.25, 22.75, 23.0, 23.0, 23.0, 23.0, 22.25, 23.25, 23.5, 23.25, 23.25, 23.25, 23.25, 23.0, 23.0, 24.25, 23.75, 23.75, 23.25, 24.25, 23.75, 23.25, 22.75, 24.0, 23.25, 23.75, 23.75, 23.75, 23.75, 23.75, 23.0, 23.75, 24.0, 23.75, 24.5, 23.75, 24.0, 24.0, 24.5, 25.5, 24.5, 25.25, 25.75, 27.0, 28.0, 28.75, 27.0, 26.5, 27.25, 27.75, 28.5, 28.25, 27.75, 28.0, 28.0, 26.0, 27.0, 27.0, 27.75, 28.25, 28.5, 28.5, 27.25]"
18,50,42,"[23.75, 23.0, 23.0, 23.0, 23.0, 23.25, 22.5, 22.0, 23.5, 23.75, 23.0, 23.25, 23.25, 23.25, 23.25, 22.75, 23.75, 23.25, 23.75, 23.5, 23.5, 23.25, 23.5, 23.0, 23.75, 23.5, 23.75, 23.75, 23.75, 24.0, 23.75, 23.5, 23.75, 24.0, 24.0, 24.0, 23.75, 24.25, 24.0, 24.25, 25.5, 24.5, 25.25, 25.75, 27.0, 28.25, 29.0, 27.0, 27.25, 27.0, 27.5, 28.5, 27.75, 27.75, 28.0, 28.0, 26.5, 27.0, 27.0, 27.75, 28.0, 28.0, 28.75, 28.0]"
18,50,42,"[23.5, 23.5, 23.25, 22.75, 22.75, 23.0, 22.75, 22.5, 23.0, 23.5, 23.25, 23.25, 22.75, 23.0, 23.0, 22.5, 24.0, 23.0, 23.75, 23.25, 23.5, 23.5, 23.0, 22.75, 23.0, 23.0, 23.5, 23.75, 24.0, 23.75, 23.75, 23.0, 23.75, 24.0, 23.5, 24.0, 24.0, 24.0, 24.0, 24.0, 25.5, 25.0, 25.25, 26.25, 26.5, 27.75, 28.75, 27.0, 26.5, 27.25, 27.75, 28.0, 27.25, 27.0, 27.75, 27.75, 26.25, 27.0, 27.25, 28.0, 27.75, 28.75, 28.5, 27.5]"
18,50,43,"[23.0, 23.0, 22.75, 23.0, 23.0, 23.0, 23.0, 22.25, 23.25, 23.75, 23.25, 23.5, 23.5, 23.25, 22.75, 23.0, 24.0, 23.5, 23.75, 23.25, 23.5, 23.5, 23.75, 22.5, 23.5, 23.25, 23.75, 23.75, 23.5, 23.75, 23.75, 23.0, 24.0, 24.25, 23.75, 23.75, 24.0, 23.75, 24.0, 24.5, 25.25, 24.75, 25.25, 25.5, 26.75, 28.0, 29.0, 27.0, 26.25, 27.75, 27.75, 28.5, 27.75, 27.25, 28.0, 28.25, 27.0, 27.25, 27.5, 28.0, 28.25, 28.5, 29.0, 28.0]"
18,50,43,"[23.0, 23.25, 22.75, 23.0, 23.0, 23.0, 23.5, 22.25, 24.0, 23.25, 23.0, 23.25, 23.75, 23.0, 23.25, 23.0, 23.5, 23.25, 23.5, 23.5, 23.5, 23.5, 23.25, 23.25, 23.5, 23.5, 24.25, 23.5, 23.5, 23.5, 24.0, 23.25, 23.5, 24.0, 24.0, 24.0, 24.0, 24.0, 23.75, 24.0, 25.25, 24.75, 25.0, 25.75, 27.0, 27.5, 29.0, 26.75, 27.0, 27.25, 28.0, 27.75, 27.5, 28.0, 28.5, 28.25, 26.75, 27.0, 26.75, 27.75, 28.0, 28.25, 28.5, 27.5]"
18,50,43,"[23.5, 22.75, 23.0, 23.0, 23.0, 22.75, 23.0, 22.25, 23.5, 23.25, 22.5, 23.25, 22.75, 23.0, 23.25, 23.0, 24.0, 23.0, 23.5, 23.0, 23.75, 23.5, 23.0, 22.75, 23.75, 23.0, 23.5, 23.5, 23.75, 23.5, 24.0, 22.75, 23.75, 24.25, 24.25, 24.25, 23.5, 24.0, 23.5, 23.75, 25.0, 24.5, 25.25, 25.75, 27.25, 28.25, 28.5, 27.0, 26.5, 27.25, 27.75, 28.25, 28.0, 27.75, 28.25, 27.75, 26.25, 26.75, 27.0, 27.75, 28.0, 28.75, 28.5, 27.75]"
18,50,43,"[23.25, 22.75, 23.0, 23.25, 22.75, 22.5, 23.0, 22.0, 23.5, 24.0, 23.0, 23.5, 23.5, 23.75, 23.5, 23.0, 23.75, 23.5, 23.75, 23.5, 23.75, 23.5, 23.75, 23.5, 23.75, 23.75, 23.75, 23.75, 24.0, 24.0, 23.5, 23.25, 24.0, 24.25, 24.0, 24.25, 23.75, 23.75, 24.0, 24.25, 25.5, 25.0, 25.5, 25.75, 27.0, 28.0, 28.75, 27.0, 27.0, 27.25, 27.5, 27.75, 28.0, 28.25, 28.5, 27.5, 26.75, 26.75, 27.0, 28.0, 28.0, 28.5, 28.75, 27.75]"
18,50,43,"[23.0, 22.75, 23.25, 23.0, 23.0, 23.25, 22.75, 22.25, 23.5, 23.75, 23.25, 23.75, 23.25, 23.25, 23.25, 23.25, 24.0, 23.25, 23.75, 23.25, 23.25, 23.75, 23.25, 23.25, 23.75, 23.75, 23.5, 23.75, 24.0, 24.0, 24.0, 23.25, 23.75, 24.25, 24.0, 24.25, 24.0, 24.0, 24.25, 24.25, 25.25, 24.75, 25.25, 25.75, 26.75, 28.0, 28.5, 27.5, 26.25, 27.25, 27.75, 28.0, 27.75, 27.75, 29.25, 28.0, 26.75, 27.0, 27.25, 28.0, 28.0, 28.75, 28.5, 28.0]"
18,50,43,"[23.5, 23.5, 22.75, 23.5, 23.0, 23.25, 22.5, 22.5, 22.75, 23.5, 22.5, 23.25, 22.75, 23.0, 22.5, 22.5, 23.5, 23.5, 23.75, 23.25, 23.75, 23.5, 23.25, 22.75, 23.75, 23.75, 23.5, 24.0, 23.5, 23.75, 23.5, 23.25, 24.0, 24.0, 24.25, 24.25, 24.0, 24.0, 23.75, 24.25, 25.75, 25.0, 25.5, 26.0, 27.75, 28.0, 28.75, 27.25, 26.5, 27.25, 28.0, 28.25, 28.25, 27.75, 28.25, 27.75, 26.75, 26.5, 27.5, 28.25, 28.25, 28.5, 28.75, 27.75]"
18,50,44,"[23.25, 23.0, 22.5, 23.25, 23.25, 22.75, 22.75, 22.0, 23.0, 23.25, 23.0, 23.0, 23.0, 23.25, 23.0, 23.0, 24.25, 23.25, 23.75, 23.25, 23.5, 23.75, 23.25, 23.0, 23.5, 23.5, 23.5, 23.5, 24.0, 23.75, 24.0, 23.0, 23.5, 24.25, 23.75, 24.0, 23.5, 23.75, 24.0, 24.75, 25.25, 24.75, 25.5, 26.0, 27.0, 28.0, 28.75, 27.75, 26.75, 27.25, 27.75, 28.25, 27.75, 27.75, 28.25, 28.0, 26.25, 27.0, 27.25, 28.0, 28.0, 28.0, 28.5, 27.75]"
18,50,44,"[23.5, 23.0, 23.0, 23.0, 22.75, 23.0, 22.75, 22.5, 23.5, 23.25, 23.25, 23.75, 22.75, 23.25, 23.25, 23.0, 23.75, 23.5, 23.5, 23.0, 23.75, 23.25, 23.75, 23.25, 23.75, 23.75, 23.75, 24.0, 24.0, 23.75, 24.0, 23.5, 24.0, 24.25, 24.0, 24.25, 24.25, 24.0, 24.0, 24.0, 25.0, 25.0, 25.5, 25.25, 27.0, 28.0, 28.75, 27.25, 27.25, 27.5, 27.75, 28.25, 28.25, 28.25, 28.25, 28.0, 26.75, 27.0, 27.0, 27.75, 28.25, 28.5, 28.75, 28.0]"
18,50,44,"[23.25, 22.75, 22.75, 23.0, 23.0, 23.0, 22.75, 22.0, 23.0, 24.0, 23.0, 23.5, 23.5, 23.0, 23.0, 23.25, 23.75, 23.25, 23.5, 23.25, 23.5, 23.75, 23.25, 23.0, 23.5, 23.5, 23.75, 23.75, 23.5, 23.5, 23.5, 23.5, 23.5, 24.5, 24.0, 23.75, 24.0, 23.75, 24.25, 24.0, 25.25, 25.0, 25.5, 26.0, 27.0, 27.75, 28.75, 26.75, 26.75, 27.5, 27.25, 28.25, 27.75, 27.5, 28.0, 28.0, 26.5, 27.5, 27.0, 28.0, 28.5, 28.0, 28.75, 27.5]"
18,50,44,"[23.25, 23.0, 23.0, 23.0, 22.5, 23.0, 23.0, 22.5, 23.25, 23.5, 23.5, 23.25, 23.0, 23.25, 22.75, 23.0, 23.75, 23.25, 24.0, 23.0, 23.5, 23.75, 23.5, 23.5, 23.75, 23.25, 23.5, 23.75, 23.75, 23.75, 23.75, 22.75, 23.5, 24.25, 24.0, 24.0, 24.0, 24.0, 24.0, 25.0, 25.5, 24.75, 25.75, 26.0, 27.0, 28.25, 28.5, 27.0, 26.5, 27.25, 27.75, 28.75, 27.75, 28.0, 28.25, 28.5, 26.5, 27.25, 26.5, 28.0, 28.0, 28.5, 28.75, 27.75]"
18,50,44,"[24.0, 23.0, 23.25, 23.25, 23.0, 22.75, 23.0, 22.25, 23.25, 23.75, 23.25, 23.25, 23.25, 23.25, 23.0, 23.0, 24.0, 23.5, 23.5, 23.25, 23.5, 23.5, 23.0, 23.0, 23.5, 23.5, 23.5, 23.75, 24.0, 24.0, 24.25, 23.5, 23.5, 24.25, 23.75, 24.25, 24.0, 24.0, 23.75, 24.75, 25.25, 25.0, 25.25, 26.0, 27.0, 28.0, 28.5, 26.5, 26.0, 27.5, 28.25, 28.25, 28.0, 27.75, 28.5, 28.5, 26.75, 26.5, 27.25, 27.5, 28.0, 28.75, 28.75, 27.75]"
18,50,44,"[23.25, 23.25, 22.75, 23.0, 23.0, 23.0, 23.0, 22.0, 23.0, 23.25, 22.75, 23.25, 22.5, 23.25, 23.5, 22.75, 23.25, 23.25, 23.5, 23.0, 23.75, 23.75, 23.5, 22.75, 23.75, 23.25, 23.75, 24.0, 23.75, 23.5, 23.75, 23.25, 23.75, 24.25, 23.75, 24.0, 23.75, 23.75, 24.0, 24.0, 25.25, 24.75, 25.5, 26.0, 27.0, 28.0, 28.75, 27.25, 26.25, 27.25, 28.0, 28.0, 27.75, 27.75, 29.0, 28.25, 26.5, 27.0, 26.75, 28.0, 28.0, 28.75, 28.25, 28.0]"
18,50,45,"[23.25, 23.75, 23.0, 23.0, 23.0, 23.0, 22.5, 22.75, 23.0, 23.5, 23.0, 23.5, 23.0, 23.5, 23.5, 23.25, 24.0, 23.25, 23.5, 23.25, 23.25, 23.75, 23.25, 23.5, 23.75, 23.75, 23.5, 24.0, 24.0, 23.75, 24.0, 23.5, 23.5, 24.25, 24.0, 24.5, 23.75, 24.25, 24.0, 24.25, 25.25, 25.0, 25.25, 26.0, 26.75, 28.0, 28.75, 26.5, 27.5, 27.5, 27.75, 28.25, 28.5, 27.75, 28.5, 28.75, 26.25, 27.25, 27.0, 28.0, 27.75, 28.75, 28.75, 28.25]"
18,50,45,"[23.5, 23.25, 23.0, 23.0, 22.75, 23.0, 22.5, 22.5, 23.0, 23.75, 23.25, 23.25, 23.25, 23.25, 23.25, 23.0, 24.0, 23.25, 24.0, 23.25, 23.75, 23.25, 23.5, 23.5, 23.75, 23.0, 24.0, 24.0, 23.75, 23.75, 23.75, 22.75, 23.75, 24.25, 24.0, 24.25, 24.25, 23.5, 24.0, 24.25, 25.25, 25.25, 25.5, 26.0, 27.25, 28.0, 28.75, 27.25, 26.75, 27.0, 28.25, 28.5, 27.75, 27.75, 28.25, 28.75, 26.5, 27.0, 26.75, 27.5, 28.25, 28.25, 28.5, 28.0]"
18,50,45,"[23.0, 23.0, 23.0, 23.0, 22.5, 23.0, 23.0, 22.25, 23.0, 23.5, 22.75, 23.25, 23.25, 22.75, 23.0, 23.0, 23.5, 23.25, 23.5, 23.25, 23.25, 23.5, 23.0, 22.5, 23.0, 23.5, 23.5, 23.75, 23.5, 23.75, 23.25, 23.5, 23.5, 23.75, 23.75, 24.0, 23.5, 23.5, 24.0, 24.0, 25.5, 25.0, 25.25, 25.75, 26.75, 27.5, 28.75, 26.75, 26.75, 27.25, 27.75, 28.25, 27.5, 27.5, 28.25, 27.75, 26.5, 27.0, 27.25, 28.0, 27.75, 28.25, 29.0, 28.0]"
18,50,45,"[23.75, 22.75, 22.25, 23.25, 23.0, 22.75, 22.75, 22.5, 23.0, 23.75, 23.0, 23.0, 23.0, 22.75, 23.0, 23.0, 24.0, 23.0, 23.75, 23.25, 23.5, 23.75, 23.5, 22.5, 23.25, 23.25, 23.25, 23.75, 23.25, 23.5, 23.5, 23.0, 23.75, 24.5, 23.75, 24.0, 24.0, 23.75, 23.75, 24.0, 25.5, 24.5, 25.0, 25.25, 26.25, 27.75, 28.5, 27.0, 26.5, 27.25, 27.5, 27.75, 27.75, 27.5, 28.25, 27.75, 26.5, 26.75, 27.5, 28.0, 28.0, 28.5, 28.5, 28.0]"
18,50,45,"[23.25, 23.5, 23.25, 22.75, 23.0, 22.5, 23.0, 22.25, 23.0, 23.0, 22.5, 22.75, 22.5, 23.0, 22.75, 22.25, 23.5, 23.0, 23.5, 23.5, 23.75, 23.5, 23.25, 22.75, 23.5, 23.5, 23.25, 23.25, 23.25, 23.75, 23.25, 23.0, 23.75, 23.75, 23.5, 23.5, 23.5, 23.5, 24.0, 24.0, 25.5, 24.25, 25.0, 25.0, 27.0, 27.5, 28.5, 26.75, 26.5, 26.75, 28.0, 28.25, 27.5, 27.0, 28.0, 27.75, 26.75, 26.75, 27.0, 28.0, 28.0, 28.5, 28.75, 28.0]"
18,50,46,"[23.0, 22.25, 22.75, 22.5, 22.5, 22.5, 22.5, 22.5, 23.0, 23.0, 22.75, 22.75, 23.0, 22.5, 23.0, 22.25, 23.5, 23.0, 23.25, 22.75, 23.5, 23.25, 22.5, 22.5, 23.5, 23.5, 23.5, 23.5, 23.5, 23.25, 23.0, 22.5, 23.5, 23.75, 23.75, 23.75, 23.5, 23.75, 23.25, 24.0, 25.25, 24.75, 24.75, 25.5, 26.5, 27.75, 28.5, 26.75, 26.25, 26.75, 27.5, 28.0, 27.25, 27.5, 27.5, 27.5, 27.25, 26.25, 26.75, 27.75, 27.75, 28.0, 28.0, 27.5]"
18,50,46,"[22.75, 23.25, 22.75, 23.0, 22.5, 22.25, 22.5, 22.0, 23.0, 23.5, 22.75, 23.5, 22.75, 22.25, 23.0, 23.0, 23.5, 23.75, 23.5, 23.0, 23.25, 23.25, 22.5, 22.5, 23.5, 23.25, 23.5, 23.25, 23.25, 23.5, 23.25, 22.5, 23.5, 23.75, 23.5, 23.5, 23.5, 23.25, 23.75, 24.25, 24.75, 24.5, 25.25, 25.5, 26.0, 27.5, 28.5, 26.5, 27.0, 27.0, 27.5, 27.75, 27.5, 26.75, 27.75, 28.25, 25.75, 27.0, 26.75, 27.0, 27.75, 28.0, 28.25, 27.25]"
18,50,46,"[23.5, 22.75, 22.25, 23.0, 23.0, 22.75, 22.5, 22.0, 22.5, 23.25, 22.75, 22.75, 22.75, 23.0, 22.75, 22.5, 23.75, 23.25, 23.25, 22.5, 23.0, 23.25, 22.75, 22.75, 23.5, 23.0, 23.25, 23.75, 22.75, 23.5, 23.75, 22.5, 23.5, 24.0, 23.5, 23.5, 23.25, 23.5, 23.75, 24.0, 24.75, 24.5, 24.75, 25.25, 26.25, 27.5, 28.25, 26.25, 27.0, 27.0, 27.75, 27.75, 27.25, 27.5, 27.25, 28.25, 26.75, 26.75, 26.5, 27.5, 28.0, 28.5, 28.5, 27.25]"
18,50,46,"[22.75, 23.0, 22.0, 23.0, 22.25, 22.5, 22.0, 22.0, 22.75, 23.0, 22.75, 23.0, 22.5, 22.75, 22.5, 23.0, 23.5, 22.5, 23.0, 23.0, 23.25, 23.0, 22.75, 22.75, 23.0, 22.5, 23.25, 23.0, 23.25, 23.5, 23.75, 23.0, 23.5, 23.75, 24.25, 23.5, 23.5, 23.0, 24.0, 24.0, 25.5, 24.25, 25.25, 25.5, 26.75, 27.75, 28.0, 27.0, 27.0, 26.75, 27.5, 28.0, 27.5, 27.0, 27.75, 27.5, 26.25, 26.25, 26.75, 27.75, 27.75, 28.25, 27.75, 27.75]"
18,50,46,"[23.25, 23.0, 22.5, 22.75, 22.5, 22.5, 22.75, 22.0, 22.75, 23.25, 23.25, 23.25, 22.75, 22.5, 22.75, 22.75, 23.25, 23.25, 23.75, 23.0, 23.25, 23.5, 23.0, 23.0, 23.25, 22.75, 23.5, 23.5, 23.25, 23.25, 23.75, 22.25, 23.5, 24.0, 23.25, 23.75, 23.25, 23.25, 23.5, 23.75, 25.25, 24.5, 25.0, 25.25, 26.25, 27.25, 28.25, 26.25, 26.75, 26.75, 27.75, 28.25, 27.5, 27.5, 27.75, 27.5, 26.75, 26.5, 27.0, 27.5, 28.25, 28.0, 28.25, 28.25]"
18,50,46,"[23.25, 22.5, 22.25, 22.75, 22.25, 22.25, 22.75, 21.75, 23.0, 23.25, 22.75, 22.75, 23.25, 23.0, 22.75, 23.25, 23.5, 23.0, 23.0, 22.5, 23.5, 23.25, 22.75, 23.0, 23.75, 22.75, 23.25, 23.25, 23.5, 23.75, 22.75, 22.75, 23.5, 23.5, 23.75, 23.75, 23.75, 23.5, 23.5, 24.0, 24.5, 24.5, 25.0, 25.5, 27.0, 27.5, 28.25, 27.0, 26.75, 27.25, 28.0, 28.0, 27.5, 27.25, 28.0, 27.75, 26.25, 26.5, 26.75, 27.75, 28.0, 28.25, 28.5, 27.25]"
18,50,47,"[23.25, 22.5, 23.0, 22.75, 22.25, 22.25, 22.75, 21.5, 23.0, 22.75, 22.25, 22.75, 22.5, 22.75, 22.75, 22.5, 23.25, 22.75, 23.5, 22.5, 23.5, 23.25, 23.0, 22.25, 23.5, 23.0, 23.5, 23.0, 23.5, 23.25, 23.5, 22.75, 23.25, 23.5, 24.0, 23.5, 23.75, 23.5, 24.0, 24.5, 24.75, 25.25, 24.75, 25.5, 26.75, 27.75, 28.25, 26.75, 26.25, 26.5, 27.5, 27.75, 27.5, 27.25, 27.75, 28.0, 26.25, 26.75, 27.25, 27.5, 27.75, 28.0, 28.25, 27.25]"
18,50,47,"[22.75, 23.0, 23.0, 22.75, 23.0, 22.75, 22.0, 22.25, 23.0, 23.0, 22.75, 23.0, 22.5, 22.75, 22.75, 22.75, 23.75, 23.25, 23.0, 22.75, 23.5, 23.0, 23.25, 22.75, 23.25, 23.0, 22.75, 23.5, 23.0, 23.25, 23.75, 22.5, 23.25, 23.5, 23.25, 23.5, 23.75, 23.25, 23.25, 23.25, 25.0, 24.5, 25.25, 25.5, 26.25, 27.5, 28.25, 26.5, 26.5, 27.0, 27.5, 27.75, 27.5, 27.0, 27.75, 27.75, 25.5, 26.25, 27.0, 27.5, 27.75, 28.0, 28.5, 27.5]"
18,50,47,"[22.5, 22.5, 22.25, 22.75, 22.5, 22.5, 22.75, 22.0, 22.25, 22.75, 22.5, 22.5, 22.25, 22.5, 22.5, 22.5, 23.25, 22.5, 23.0, 22.75, 23.0, 23.0, 22.5, 22.75, 23.0, 23.0, 23.0, 23.25, 22.75, 23.0, 22.75, 22.75, 23.25, 23.25, 23.5, 23.5, 23.5, 22.75, 23.5, 23.25, 25.25, 24.25, 24.75, 25.0, 26.0, 27.25, 28.25, 26.25, 26.5, 27.0, 27.0, 27.75, 27.5, 27.25, 28.0, 28.5, 25.75, 26.25, 27.25, 27.0, 27.5, 28.0, 28.25, 27.5]"
18,50,47,"[22.5, 22.5, 22.75, 22.25, 22.25, 22.0, 22.25, 21.25, 22.5, 22.5, 22.0, 22.75, 22.25, 22.5, 22.75, 22.0, 23.0, 23.0, 22.75, 22.75, 22.75, 22.75, 22.5, 22.25, 23.0, 22.5, 23.0, 22.75, 22.75, 23.0, 23.0, 22.25, 23.0, 23.5, 23.25, 23.25, 23.25, 22.75, 23.5, 23.25, 24.75, 24.5, 24.5, 25.0, 26.0, 27.25, 28.25, 26.0, 26.25, 26.5, 26.75, 27.5, 26.75, 27.0, 27.75, 27.25, 25.75, 26.0, 26.75, 27.25, 27.5, 27.75, 27.75, 27.0]"
18,50,47,"[22.75, 22.25, 22.0, 22.5, 22.5, 21.75, 22.25, 21.75, 23.0, 22.75, 22.25, 22.5, 22.75, 22.0, 22.5, 22.5, 23.25, 22.75, 22.75, 22.75, 22.75, 22.75, 22.5, 22.5, 23.0, 22.75, 22.5, 22.75, 23.0, 23.0, 22.75, 22.25, 23.25, 23.25, 23.25, 23.25, 23.0, 23.0, 23.0, 23.5, 24.25, 23.75, 24.25, 24.75, 26.25, 27.0, 28.0, 26.5, 26.0, 26.5, 27.0, 27.0, 26.75, 27.0, 27.75, 27.25, 26.0, 25.5, 26.25, 26.75, 27.25, 27.75, 27.5, 27.5]"
18,50,47,"[22.25, 22.5, 22.0, 22.75, 22.5, 22.0, 22.25, 22.0, 22.5, 22.5, 22.5, 22.25, 21.75, 22.5, 22.5, 22.25, 23.25, 22.75, 23.0, 22.0, 22.75, 22.75, 22.5, 22.5, 22.75, 22.5, 22.25, 22.75, 23.0, 22.5, 23.0, 22.25, 23.25, 23.25, 23.0, 23.0, 22.75, 22.75, 23.25, 23.75, 24.25, 24.0, 23.75, 25.0, 25.5, 27.0, 27.75, 26.5, 26.0, 26.75, 26.75, 27.25, 27.0, 26.75, 27.25, 27.75, 25.5, 26.25, 25.75, 27.25, 27.0, 27.5, 27.75, 27.25]"
18,50,48,"[22.5, 22.5, 22.25, 22.25, 22.25, 21.75, 21.75, 21.5, 22.25, 22.5, 22.0, 22.75, 22.25, 22.25, 22.5, 21.75, 23.25, 22.75, 22.5, 22.5, 22.5, 22.5, 22.5, 22.5, 22.75, 22.5, 22.25, 22.5, 22.25, 22.5, 23.0, 22.0, 23.0, 23.25, 23.0, 22.75, 22.75, 22.5, 23.25, 23.5, 24.5, 23.75, 24.75, 24.75, 25.75, 27.0, 27.75, 26.25, 26.25, 26.5, 27.0, 27.0, 26.75, 27.5, 27.25, 27.5, 25.75, 26.5, 26.5, 27.0, 27.25, 27.75, 28.5, 27.25]"
18,50,48,"[22.75, 22.0, 21.75, 22.0, 22.5, 22.0, 22.0, 21.75, 22.25, 22.5, 22.25, 22.5, 22.0, 22.0, 22.0, 22.25, 23.25, 22.5, 22.25, 22.25, 22.75, 22.75, 22.0, 22.0, 23.0, 22.25, 23.0, 22.75, 22.75, 22.75, 23.0, 22.0, 22.75, 22.75, 22.75, 23.0, 23.0, 23.0, 23.25, 23.25, 24.25, 23.5, 24.5, 25.0, 25.5, 27.0, 27.25, 26.5, 26.25, 27.0, 26.5, 27.25, 27.0, 27.0, 27.25, 27.75, 25.5, 26.25, 26.5, 26.75, 27.0, 27.75, 28.0, 27.25]"
18,50,48,"[23.0, 22.25, 22.0, 22.75, 22.0, 22.0, 22.5, 21.25, 23.0, 22.75, 22.25, 22.25, 22.25, 22.25, 22.5, 21.75, 22.5, 22.75, 22.5, 22.25, 22.5, 22.75, 22.0, 22.25, 22.5, 22.25, 23.0, 22.75, 22.75, 23.0, 23.0, 22.0, 22.75, 23.5, 23.0, 22.75, 23.25, 23.0, 23.5, 23.75, 24.5, 24.0, 24.5, 25.0, 26.25, 26.5, 27.75, 25.25, 26.0, 26.25, 26.75, 27.25, 27.0, 27.0, 27.25, 27.5, 26.0, 26.0, 26.25, 27.25, 27.5, 27.75, 27.75, 26.75]"
18,50,48,"[22.0, 22.25, 22.25, 22.25, 22.0, 22.25, 22.0, 22.0, 22.0, 23.0, 22.25, 22.5, 22.0, 22.25, 22.5, 22.25, 23.25, 22.75, 22.5, 22.75, 22.25, 22.75, 22.5, 22.75, 23.25, 22.5, 23.0, 23.0, 22.75, 22.75, 23.0, 22.75, 23.0, 23.5, 23.0, 23.0, 22.75, 22.75, 23.0, 23.5, 24.5, 24.0, 24.0, 25.0, 26.0, 27.5, 28.0, 26.25, 26.0, 26.75, 27.5, 27.5, 26.75, 27.0, 28.0, 27.0, 26.25, 26.25, 26.25, 27.5, 27.25, 28.0, 28.25, 27.5]"
18,50,48,"[22.5, 22.25, 22.75, 22.0, 22.25, 22.0, 22.25, 22.0, 22.25, 22.5, 22.25, 22.25, 22.0, 22.0, 22.5, 22.5, 23.25, 22.0, 23.0, 22.5, 22.5, 22.75, 22.0, 22.25, 22.75, 23.0, 22.5, 22.75, 23.0, 22.75, 23.0, 22.5, 22.75, 23.25, 23.25, 23.0, 22.75, 23.0, 23.0, 23.75, 24.25, 24.5, 24.75, 25.25, 26.0, 27.0, 28.25, 26.5, 25.75, 27.0, 26.75, 27.5, 27.0, 27.0, 27.75, 27.5, 26.75, 26.25, 26.25, 27.5, 27.25, 28.0, 28.5, 28.0]"
18,50,49,"[22.75, 22.75, 22.25, 22.25, 22.0, 22.0, 22.0, 21.75, 22.5, 22.5, 22.5, 22.75, 22.5, 22.25, 23.0, 21.75, 23.25, 22.75, 22.75, 22.25, 22.75, 22.75, 22.25, 22.25, 23.0, 22.25, 22.75, 23.25, 22.75, 22.75, 23.0, 22.5, 23.0, 23.25, 22.75, 23.25, 23.0, 22.75, 22.75, 23.5, 24.5, 23.5, 24.5, 25.0, 26.25, 27.0, 28.25, 26.25, 26.5, 26.25, 27.0, 27.0, 26.5, 26.5, 27.0, 27.75, 25.5, 25.5, 26.0, 27.0, 27.0, 28.25, 28.25, 27.5]"
18,50,49,"[22.5, 23.0, 22.25, 22.0, 22.25, 22.0, 22.0, 21.0, 22.75, 22.75, 22.25, 22.25, 22.5, 22.0, 22.25, 21.75, 23.25, 22.5, 23.0, 22.25, 22.75, 23.0, 22.5, 22.0, 22.75, 22.5, 23.25, 22.75, 22.75, 23.0, 23.0, 22.0, 23.25, 23.5, 23.0, 23.25, 22.75, 23.0, 23.0, 23.75, 24.25, 24.25, 24.0, 24.75, 26.25, 27.0, 27.5, 26.5, 25.75, 27.0, 27.25, 27.25, 26.75, 26.75, 27.5, 27.75, 26.25, 25.75, 26.75, 27.0, 27.25, 28.0, 28.25, 27.0]"
